exception_id,type,requester,approver,department,justification,start_date,end_date,status,risk_level,review_requested_date
EXC-0001,background_check_pending,paul.miller,it.director,IT Infrastructure,Disaster recovery drill access,2026-01-20,2026-04-01,EXPIRED,MEDIUM,
EXC-0002,vendor_access_waiver,noah.brown,manager.001,HR,Database migration support for project 741,2025-08-15,2025-10-03,REVOKED,HIGH,
EXC-0003,admin_access,grace.brown,platform.lead,Legal,New hire onboarding pending background check completion,2025-12-06,2026-04-25,ACTIVE,HIGH,
EXC-0004,admin_access,jack.clark,compliance.officer,Engineering,Vendor SOC 2 audit data extraction,2026-02-08,2026-05-04,ACTIVE,HIGH,
EXC-0005,encryption_waiver,mia.chen,it.director,Sales,Legacy system compatibility during migration to v960,2025-11-08,2026-05-03,ACTIVE,HIGH,
EXC-0006,data_access_exception,sara.doe,compliance.officer,IT Infrastructure,Production troubleshooting for incident INC-185,2025-11-20,2025-12-21,REVOKED,HIGH,
EXC-0007,vendor_access_waiver,infra.team,platform.lead,Sales,Vendor SOC 2 audit data extraction,2025-09-04,2026-04-19,ACTIVE,HIGH,
EXC-0008,encryption_waiver,olivia.doe,alice.smith,Legal,Business need,2026-02-25,2026-04-01,RENEWAL_REQUESTED,HIGH,2026-03-07
EXC-0009,firewall_rule_open,dev.lead,security.lead,Sales,Short-term fix,2025-06-12,2025-09-06,EXPIRED,MEDIUM,
EXC-0010,data_access_exception,kelly.garcia,bob.jones,Finance,Disaster recovery drill access,2026-03-29,2026-08-06,ACTIVE,HIGH,
EXC-0011,data_access_exception,frank.jones,manager.001,Operations,Emergency,2025-10-07,2026-06-25,ACTIVE,MEDIUM,
EXC-0012,vendor_access_waiver,security.ops,alice.smith,Security,Legacy system compatibility during migration to v851,2026-02-19,2026-07-18,ACTIVE,HIGH,
EXC-0013,dev_environment_exception,henry.lewis,it.director,Security,Quarterly penetration test access window,2025-09-27,2025-11-11,EXPIRED,LOW,
EXC-0014,encryption_waiver,grace.clark,compliance.officer,Legal,Legacy issue,2025-07-17,2025-10-01,EXPIRED,HIGH,
EXC-0015,encryption_waiver,jack.brown,ciso.office,Customer Support,Database migration support for project 761,2025-11-22,2026-07-30,ACTIVE,HIGH,
EXC-0016,vendor_access_waiver,john.jones,ciso.office,Sales,New hire onboarding pending background check completion,2025-11-29,2026-03-23,RENEWAL_REQUESTED,HIGH,2026-02-21
EXC-0017,encryption_waiver,paul.wilson,compliance.officer,Customer Support,Vendor SOC 2 audit data extraction,2026-02-25,2026-06-04,ACTIVE,HIGH,
EXC-0018,admin_access,victor.garcia,manager.001,Sales,Quarterly penetration test access window,2026-03-31,2026-04-30,ACTIVE,HIGH,
EXC-0019,firewall_rule_open,data.eng,alice.smith,Customer Support,Business need,2025-05-12,2025-08-04,REVOKED,MEDIUM,
EXC-0020,vendor_access_waiver,tom.lewis,bob.jones,Engineering,Integration with Partner Ltd API gateway,2026-02-21,2026-09-07,ACTIVE,HIGH,
EXC-0021,data_access_exception,ravi.smith,security.lead,Finance,Quarterly penetration test access window,2025-05-28,2025-07-12,EXPIRED,HIGH,
EXC-0022,dev_environment_exception,sara.chen,compliance.officer,Data & Analytics,Short-term fix,2026-03-31,2026-09-10,ACTIVE,LOW,
EXC-0023,admin_access,frank.kumar,ciso.office,Operations,Database migration support for project 398,2026-03-22,2026-05-02,ACTIVE,HIGH,
EXC-0024,admin_access,data.eng,it.director,Operations,Quarterly penetration test access window,2026-02-10,2026-03-21,REVOKED,HIGH,
EXC-0025,admin_access,tom.lee,ciso.office,Finance,Disaster recovery drill access,2026-01-18,2026-08-16,ACTIVE,HIGH,
EXC-0026,encryption_waiver,olivia.clark,bob.jones,IT Infrastructure,Production troubleshooting for incident INC-883,2026-01-22,2026-08-14,ACTIVE,HIGH,
EXC-0027,vendor_access_waiver,ravi.smith,security.lead,Data & Analytics,Database migration support for project 384,2025-07-16,2025-10-12,REVOKED,HIGH,
EXC-0028,vendor_access_waiver,bob.lewis,platform.lead,Security,Disaster recovery drill access,2025-11-27,2026-04-19,ACTIVE,HIGH,
EXC-0029,background_check_pending,alice.clark,bob.jones,Legal,Database migration support for project 523,2026-02-12,2026-05-14,ACTIVE,MEDIUM,
EXC-0030,admin_access,security.ops,it.director,Data & Analytics,New hire onboarding pending background check completion,2025-09-30,2026-04-18,ACTIVE,CRITICAL,
EXC-0031,firewall_rule_open,noah.lewis,bob.jones,Engineering,Business need,2025-12-11,2026-07-11,ACTIVE,MEDIUM,
EXC-0032,data_access_exception,tom.lee,it.director,HR,Disaster recovery drill access,2026-02-15,2026-04-17,ACTIVE,HIGH,
EXC-0033,firewall_rule_open,paul.lee,bob.jones,HR,Database migration support for project 986,2026-01-27,2026-08-20,ACTIVE,MEDIUM,
EXC-0034,firewall_rule_open,olivia.wilson,platform.lead,Customer Support,Disaster recovery drill access,2026-02-25,2026-06-20,ACTIVE,MEDIUM,
EXC-0035,firewall_rule_open,mia.smith,platform.lead,Data & Analytics,Disaster recovery drill access,2025-10-29,2025-12-20,ACTIVE,HIGH,
EXC-0036,data_access_exception,dave.miller,bob.jones,Data & Analytics,Quarterly penetration test access window,2025-11-04,2026-05-29,ACTIVE,HIGH,
EXC-0037,encryption_waiver,leo.jones,platform.lead,Customer Support,New hire onboarding pending background check completion,2026-04-10,2026-05-09,ACTIVE,HIGH,
EXC-0038,vendor_access_waiver,irene.chen,bob.jones,Security,Integration with Partner Ltd API gateway,2025-11-28,2026-01-02,REVOKED,HIGH,
EXC-0039,admin_access,dev.lead,ciso.office,Legal,Disaster recovery drill access,2026-03-16,2026-06-10,ACTIVE,HIGH,
EXC-0040,dev_environment_exception,olivia.lee,manager.001,Data & Analytics,Database migration support for project 361,2025-04-19,2025-05-28,ACTIVE,CRITICAL,
EXC-0041,data_access_exception,bob.clark,platform.lead,IT Infrastructure,Emergency,2025-12-04,2026-06-19,ACTIVE,HIGH,
EXC-0042,firewall_rule_open,olivia.patel,manager.001,Security,Short-term fix,2026-01-15,2026-06-24,ACTIVE,MEDIUM,
EXC-0043,background_check_pending,alice.lewis,ciso.office,Sales,Legacy system compatibility during migration to v743,2025-06-10,2026-07-13,ACTIVE,HIGH,
EXC-0044,admin_access,tom.smith,ciso.office,Data & Analytics,New hire onboarding pending background check completion,2025-12-04,2026-08-23,ACTIVE,HIGH,
EXC-0045,firewall_rule_open,kelly.brown,security.lead,HR,Temporary issue,2026-01-15,2026-05-29,ACTIVE,MEDIUM,
EXC-0046,admin_access,uma.moore,platform.lead,Operations,Production troubleshooting for incident INC-370,2025-12-03,2026-07-05,ACTIVE,HIGH,
EXC-0047,data_access_exception,henry.moore,platform.lead,Operations,Database migration support for project 125,2025-08-06,2026-05-18,ACTIVE,HIGH,
EXC-0048,admin_access,noah.davis,compliance.officer,Operations,Disaster recovery drill access,2026-01-17,2026-09-10,ACTIVE,HIGH,
EXC-0049,data_access_exception,infra.team,security.lead,Security,New hire onboarding pending background check completion,2026-02-13,2026-06-16,ACTIVE,HIGH,
EXC-0050,background_check_pending,security.ops,platform.lead,Engineering,Production troubleshooting for incident INC-151,2025-12-02,2026-08-10,ACTIVE,MEDIUM,
EXC-0051,background_check_pending,qa.team,manager.001,Operations,Production troubleshooting for incident INC-383,2026-03-31,2026-06-22,ACTIVE,MEDIUM,
EXC-0052,background_check_pending,dave.brown,security.lead,Operations,Legacy issue,2025-11-04,2026-06-30,ACTIVE,MEDIUM,
EXC-0053,admin_access,infra.team,bob.jones,Operations,Short-term fix,2026-03-12,2026-08-06,ACTIVE,HIGH,
EXC-0054,dev_environment_exception,dev.lead,alice.smith,Data & Analytics,Operational requirement,2025-11-28,2026-09-12,ACTIVE,LOW,
EXC-0055,firewall_rule_open,data.eng,platform.lead,Security,Quarterly penetration test access window,2026-01-06,2026-04-10,RENEWAL_REQUESTED,MEDIUM,2026-02-23
EXC-0056,data_access_exception,ops.team,manager.001,Security,New hire onboarding pending background check completion,2025-12-26,2026-03-09,RENEWAL_REQUESTED,HIGH,2026-03-04
EXC-0057,data_access_exception,carol.miller,compliance.officer,Legal,Vendor SOC 2 audit data extraction,2025-12-10,2026-05-31,ACTIVE,HIGH,
EXC-0058,background_check_pending,dev.lead,platform.lead,Operations,New hire onboarding pending background check completion,2025-11-14,2026-06-02,ACTIVE,MEDIUM,
EXC-0059,firewall_rule_open,grace.patel,platform.lead,Customer Support,Production troubleshooting for incident INC-723,2025-09-08,2026-07-20,ACTIVE,HIGH,
EXC-0060,vendor_access_waiver,henry.doe,security.lead,HR,Integration with Partner Ltd API gateway,2026-01-26,2026-07-31,ACTIVE,HIGH,
EXC-0061,firewall_rule_open,john.jones,manager.001,Security,Production troubleshooting for incident INC-259,2025-12-11,2026-04-22,ACTIVE,MEDIUM,
EXC-0062,firewall_rule_open,alice.jones,ciso.office,Data & Analytics,Database migration support for project 721,2025-11-27,2026-02-02,REVOKED,MEDIUM,
EXC-0063,firewall_rule_open,carol.wilson,compliance.officer,Operations,Emergency,2025-09-13,2026-12-06,ACTIVE,HIGH,
EXC-0064,dev_environment_exception,platform.eng,ciso.office,Sales,Legacy system compatibility during migration to v489,2026-01-14,2026-08-23,ACTIVE,LOW,
EXC-0065,dev_environment_exception,paul.wilson,bob.jones,Security,Production troubleshooting for incident INC-546,2025-04-24,2025-07-05,EXPIRED,LOW,
EXC-0066,background_check_pending,infra.team,compliance.officer,Security,Emergency,2025-09-17,2025-11-27,RENEWAL_REQUESTED,MEDIUM,2025-11-09
EXC-0067,background_check_pending,noah.wilson,bob.jones,Security,Legacy issue,2025-08-04,2026-09-13,ACTIVE,MEDIUM,
EXC-0068,vendor_access_waiver,security.ops,security.lead,Operations,Legacy system compatibility during migration to v341,2026-03-16,2026-04-28,ACTIVE,HIGH,
EXC-0069,admin_access,platform.eng,security.lead,IT Infrastructure,Operational requirement,2025-05-04,2026-07-14,ACTIVE,HIGH,
EXC-0070,background_check_pending,uma.miller,platform.lead,Finance,Database migration support for project 552,2025-09-17,2025-11-05,EXPIRED,MEDIUM,
EXC-0071,encryption_waiver,irene.clark,it.director,Engineering,Legacy issue,2025-05-24,2025-06-18,REVOKED,HIGH,
EXC-0072,data_access_exception,wendy.smith,it.director,IT Infrastructure,Vendor SOC 2 audit data extraction,2025-12-14,2026-03-02,EXPIRED,HIGH,
EXC-0073,admin_access,jack.jones,security.lead,Engineering,Emergency,2025-11-25,2026-02-14,EXPIRED,HIGH,
EXC-0074,encryption_waiver,data.eng,compliance.officer,Security,Production troubleshooting for incident INC-908,2025-10-03,2025-10-25,REVOKED,HIGH,
EXC-0075,admin_access,leo.davis,ciso.office,IT Infrastructure,Disaster recovery drill access,2025-11-21,2026-08-11,ACTIVE,HIGH,
EXC-0076,firewall_rule_open,bob.davis,compliance.officer,Legal,Integration with Partner Ltd API gateway,2025-11-17,2026-02-04,REVOKED,MEDIUM,
EXC-0077,admin_access,qa.team,manager.001,Legal,Production troubleshooting for incident INC-777,2025-12-28,2026-09-05,ACTIVE,HIGH,
EXC-0078,encryption_waiver,sara.lee,compliance.officer,Finance,Short-term fix,2026-02-18,2026-04-10,RENEWAL_REQUESTED,HIGH,2026-03-14
EXC-0079,admin_access,uma.chen,it.director,IT Infrastructure,Database migration support for project 955,2026-02-23,2026-04-29,ACTIVE,HIGH,
EXC-0080,firewall_rule_open,release.mgmt,it.director,HR,Disaster recovery drill access,2025-10-23,2025-12-17,RENEWAL_REQUESTED,MEDIUM,2025-12-07
EXC-0081,background_check_pending,release.mgmt,platform.lead,Customer Support,Integration with Partner Ltd API gateway,2025-11-23,2026-01-02,RENEWAL_REQUESTED,MEDIUM,2026-03-10
EXC-0082,firewall_rule_open,qa.team,compliance.officer,Operations,New hire onboarding pending background check completion,2025-12-01,2026-01-02,ACTIVE,HIGH,
EXC-0083,data_access_exception,security.ops,manager.001,Security,Vendor SOC 2 audit data extraction,2025-06-11,2026-06-04,ACTIVE,MEDIUM,
EXC-0084,background_check_pending,dev.lead,ciso.office,Data & Analytics,Legacy system compatibility during migration to v877,2025-12-11,2026-02-20,EXPIRED,MEDIUM,
EXC-0085,admin_access,platform.eng,security.lead,Customer Support,Disaster recovery drill access,2025-06-10,2025-07-30,EXPIRED,HIGH,
EXC-0086,encryption_waiver,platform.eng,compliance.officer,IT Infrastructure,New hire onboarding pending background check completion,2025-08-20,2026-12-07,ACTIVE,MEDIUM,
EXC-0087,vendor_access_waiver,infra.team,alice.smith,IT Infrastructure,Disaster recovery drill access,2025-07-19,2025-09-09,ACTIVE,HIGH,
EXC-0088,dev_environment_exception,bob.doe,compliance.officer,Data & Analytics,Vendor SOC 2 audit data extraction,2026-02-04,2026-04-23,ACTIVE,LOW,
EXC-0089,firewall_rule_open,tom.patel,platform.lead,Finance,Operational requirement,2025-10-05,2025-11-10,REVOKED,MEDIUM,
EXC-0090,vendor_access_waiver,emma.lee,bob.jones,Data & Analytics,Temporary issue,2025-05-07,2025-06-15,EXPIRED,HIGH,
EXC-0091,encryption_waiver,paul.moore,it.director,HR,Vendor SOC 2 audit data extraction,2025-12-19,2026-07-01,ACTIVE,HIGH,
EXC-0092,data_access_exception,wendy.clark,compliance.officer,Legal,Disaster recovery drill access,2026-03-08,2026-06-06,ACTIVE,HIGH,
EXC-0093,admin_access,emma.davis,platform.lead,Operations,Database migration support for project 459,2026-01-15,2026-07-02,ACTIVE,HIGH,
EXC-0094,data_access_exception,security.ops,compliance.officer,HR,Production troubleshooting for incident INC-176,2026-01-11,2026-06-23,ACTIVE,CRITICAL,
EXC-0095,encryption_waiver,wendy.garcia,alice.smith,Finance,Database migration support for project 135,2025-06-18,2025-07-10,EXPIRED,HIGH,
EXC-0096,background_check_pending,kelly.moore,alice.smith,IT Infrastructure,Emergency,2025-10-21,2025-12-21,REVOKED,MEDIUM,
EXC-0097,background_check_pending,qa.team,platform.lead,Security,Legacy issue,2025-11-14,2025-12-28,RENEWAL_REQUESTED,MEDIUM,2025-11-27
EXC-0098,vendor_access_waiver,infra.team,bob.jones,HR,Database migration support for project 319,2025-09-08,2025-11-23,EXPIRED,HIGH,
EXC-0099,data_access_exception,ops.team,it.director,Finance,Database migration support for project 189,2025-10-09,2026-05-25,ACTIVE,HIGH,
EXC-0100,dev_environment_exception,data.eng,security.lead,Finance,New hire onboarding pending background check completion,2025-06-16,2025-07-25,EXPIRED,LOW,
EXC-0101,firewall_rule_open,john.wilson,platform.lead,Data & Analytics,Legacy system compatibility during migration to v726,2025-05-29,2025-06-20,REVOKED,MEDIUM,
EXC-0102,data_access_exception,wendy.lewis,compliance.officer,Security,Integration with Partner Ltd API gateway,2025-06-18,2025-08-11,EXPIRED,HIGH,
EXC-0103,data_access_exception,paul.wilson,security.lead,Customer Support,Legacy system compatibility during migration to v411,2025-05-18,2026-07-13,ACTIVE,MEDIUM,
EXC-0104,firewall_rule_open,platform.eng,platform.lead,Customer Support,Integration with Partner Ltd API gateway,2026-01-04,2026-06-05,ACTIVE,MEDIUM,
EXC-0105,dev_environment_exception,ravi.lee,security.lead,IT Infrastructure,Quarterly penetration test access window,2026-03-25,2026-05-25,ACTIVE,LOW,
EXC-0106,vendor_access_waiver,infra.team,alice.smith,Data & Analytics,Quarterly penetration test access window,2026-02-23,2026-05-02,RENEWAL_REQUESTED,HIGH,2026-03-12
EXC-0107,encryption_waiver,uma.moore,ciso.office,Data & Analytics,Business need,2025-11-26,2026-07-10,ACTIVE,HIGH,
EXC-0108,data_access_exception,jack.lee,platform.lead,Legal,Integration with Partner Ltd API gateway,2025-07-26,2026-04-18,ACTIVE,HIGH,
EXC-0109,admin_access,ops.team,ciso.office,Data & Analytics,Business need,2025-09-10,2026-04-16,ACTIVE,HIGH,
EXC-0110,background_check_pending,grace.garcia,platform.lead,IT Infrastructure,New hire onboarding pending background check completion,2025-07-05,2025-09-20,REVOKED,MEDIUM,
EXC-0111,data_access_exception,olivia.doe,bob.jones,Security,Database migration support for project 392,2025-12-26,2026-07-22,ACTIVE,HIGH,
EXC-0112,dev_environment_exception,ops.team,compliance.officer,Finance,Vendor SOC 2 audit data extraction,2025-11-07,2026-01-06,EXPIRED,LOW,
EXC-0113,data_access_exception,platform.eng,platform.lead,Customer Support,Emergency,2026-01-19,2026-04-16,RENEWAL_REQUESTED,HIGH,2026-03-05
EXC-0114,encryption_waiver,sara.patel,security.lead,Operations,Disaster recovery drill access,2026-03-23,2026-04-17,ACTIVE,HIGH,
EXC-0115,encryption_waiver,dev.lead,security.lead,Legal,Database migration support for project 252,2025-09-29,2026-07-02,ACTIVE,HIGH,
EXC-0116,encryption_waiver,data.eng,platform.lead,Customer Support,Vendor SOC 2 audit data extraction,2025-09-06,2026-08-25,ACTIVE,HIGH,
EXC-0117,encryption_waiver,mia.davis,alice.smith,IT Infrastructure,New hire onboarding pending background check completion,2025-05-11,2025-06-27,ACTIVE,CRITICAL,
EXC-0118,firewall_rule_open,wendy.moore,security.lead,Sales,Short-term fix,2025-10-10,2025-12-03,RENEWAL_REQUESTED,MEDIUM,2025-10-24
EXC-0119,data_access_exception,qa.team,compliance.officer,Sales,Database migration support for project 638,2025-11-16,2026-06-30,ACTIVE,HIGH,
EXC-0120,data_access_exception,qa.team,it.director,Customer Support,Legacy issue,2026-03-10,2026-04-06,ACTIVE,CRITICAL,
EXC-0121,firewall_rule_open,henry.davis,manager.001,HR,Quarterly penetration test access window,2026-03-06,2026-07-19,ACTIVE,MEDIUM,
EXC-0122,encryption_waiver,infra.team,compliance.officer,Legal,Database migration support for project 319,2025-11-11,2026-07-15,ACTIVE,HIGH,
EXC-0123,firewall_rule_open,henry.brown,security.lead,Operations,New hire onboarding pending background check completion,2025-09-24,2026-06-06,ACTIVE,CRITICAL,
EXC-0124,encryption_waiver,platform.eng,alice.smith,Operations,Database migration support for project 202,2025-04-17,2026-04-30,ACTIVE,HIGH,
EXC-0125,data_access_exception,olivia.lewis,manager.001,HR,Production troubleshooting for incident INC-279,2025-04-30,2026-07-07,ACTIVE,MEDIUM,
EXC-0126,data_access_exception,emma.smith,compliance.officer,Data & Analytics,Vendor SOC 2 audit data extraction,2026-01-14,2026-05-23,ACTIVE,HIGH,
EXC-0127,encryption_waiver,tom.lewis,security.lead,Customer Support,Quarterly penetration test access window,2025-05-13,2026-05-17,ACTIVE,MEDIUM,
EXC-0128,vendor_access_waiver,security.ops,ciso.office,IT Infrastructure,Disaster recovery drill access,2025-12-15,2026-05-09,ACTIVE,HIGH,
EXC-0129,vendor_access_waiver,qa.team,it.director,Legal,Production troubleshooting for incident INC-367,2025-12-19,2026-02-17,RENEWAL_REQUESTED,HIGH,2026-02-24
EXC-0130,data_access_exception,security.ops,ciso.office,IT Infrastructure,Production troubleshooting for incident INC-367,2025-08-13,2026-06-01,ACTIVE,HIGH,
EXC-0131,admin_access,emma.moore,ciso.office,Operations,Quarterly penetration test access window,2025-10-20,2025-12-01,EXPIRED,HIGH,
EXC-0132,firewall_rule_open,noah.wilson,compliance.officer,Customer Support,New hire onboarding pending background check completion,2025-08-19,2025-11-17,EXPIRED,MEDIUM,
EXC-0133,dev_environment_exception,victor.wilson,bob.jones,IT Infrastructure,Database migration support for project 219,2026-03-10,2026-06-10,ACTIVE,LOW,
EXC-0134,vendor_access_waiver,release.mgmt,bob.jones,Customer Support,Emergency,2025-12-04,2026-05-02,ACTIVE,HIGH,
EXC-0135,vendor_access_waiver,wendy.doe,compliance.officer,HR,New hire onboarding pending background check completion,2026-02-05,2026-02-28,EXPIRED,HIGH,
EXC-0136,data_access_exception,ops.team,alice.smith,Operations,Disaster recovery drill access,2026-01-13,2026-05-01,ACTIVE,HIGH,
EXC-0137,encryption_waiver,leo.clark,compliance.officer,Security,Disaster recovery drill access,2026-03-19,2026-06-11,ACTIVE,HIGH,
EXC-0138,dev_environment_exception,platform.eng,alice.smith,Engineering,Database migration support for project 789,2026-01-18,2026-03-27,REVOKED,LOW,
EXC-0139,background_check_pending,release.mgmt,platform.lead,Finance,Short-term fix,2025-06-11,2025-06-29,REVOKED,MEDIUM,
EXC-0140,dev_environment_exception,john.chen,manager.001,Operations,New hire onboarding pending background check completion,2026-02-23,2026-07-15,ACTIVE,LOW,
EXC-0141,background_check_pending,alice.lee,ciso.office,Sales,Vendor SOC 2 audit data extraction,2026-02-04,2026-05-05,REVOKED,MEDIUM,
EXC-0142,firewall_rule_open,qa.team,manager.001,Security,Business need,2025-12-13,2026-06-04,ACTIVE,CRITICAL,
EXC-0143,vendor_access_waiver,olivia.smith,platform.lead,Security,Vendor SOC 2 audit data extraction,2025-11-14,2026-01-19,EXPIRED,HIGH,
EXC-0144,encryption_waiver,release.mgmt,manager.001,Sales,Legacy system compatibility during migration to v497,2025-12-07,2026-07-11,ACTIVE,HIGH,
EXC-0145,firewall_rule_open,security.ops,bob.jones,Data & Analytics,Integration with Partner Ltd API gateway,2026-01-27,2026-03-22,RENEWAL_REQUESTED,MEDIUM,2026-02-09
EXC-0146,encryption_waiver,dev.lead,bob.jones,Sales,Production troubleshooting for incident INC-316,2026-03-03,2026-05-28,ACTIVE,HIGH,
EXC-0147,firewall_rule_open,carol.lewis,manager.001,IT Infrastructure,Disaster recovery drill access,2025-08-15,2025-11-07,REVOKED,MEDIUM,
EXC-0148,background_check_pending,release.mgmt,platform.lead,HR,Disaster recovery drill access,2026-03-08,2026-06-15,ACTIVE,MEDIUM,
